time,rpm,speed
438.3,0,15
438.4,0,15
438.5,0,15
438.6,0,15
438.7,0,15
438.8,0,15
438.9,0,15
439,0,15
439.1,0,15
439.2,0,15
439.3,0,15
439.4,0,15
439.5,0,15
439.6,0,15
439.7,0,15
439.8,0,15
439.9,0,15
440,0,15
440.1,0,15
440.2,0,15
440.3,0,15
440.4,0,15
440.5,0,15
440.6,0,15
440.7,0,15
440.8,0,15
440.9,0,15
441,0,15
441.1,0,15
441.2,0,15
441.3,0,15
441.4,0,15
441.5,0,15
441.6,0,15
441.7,0,15
441.8,0,15
441.9,0,15
442,0,15
442.1,0,15
442.2,0,15
442.3,0,15
442.4,0,15
442.5,0,15
442.6,0,15
442.7,0,15
442.8,0,15
442.9,0,15
443,0,15
443.1,0,15
443.2,0,15
443.3,0,15
443.4,0,15
443.5,0,15
443.6,0,15
443.7,0,15
443.8,0,15
443.9,0,15
444,0,15
444.1,0,14
444.2,0,14
444.3,0,14
444.4,0,14
444.5,0,14
444.6,0,14
444.7,0,14
444.8,0,14
444.9,0,14
445,0,14
445.1,0,14
445.2,0,14
445.3,0,14
445.4,0,14
445.5,0,14
445.6,0,14
445.7,0,14
445.8,0,14
445.9,0,14
446,0,14
446.1,0,14
446.2,0,14
446.3,0,14
446.4,0,14
446.5,0,14
446.6,0,14
446.7,0,14
446.8,0,14
446.9,0,14
447,360,14
447.1,360,14
447.2,360,14
447.3,360,14
447.4,360,14
447.5,360,14
447.6,360,14
447.7,360,14
447.8,360,14
447.9,360,14
448,2640,14
448.1,2640,16
448.2,2640,16
448.3,2640,16
448.4,2640,19
448.5,2640,19
448.6,2640,19
448.7,2640,21
448.8,2640,21
448.9,2640,23
449,3480,23
449.1,3480,23
449.2,3480,23
449.3,3480,25
449.4,3480,25
449.5,3480,27
449.6,3480,28
449.7,3480,28
449.8,3480,28
449.9,3480,28
450,1920,28
450.1,1920,28
450.2,1920,28
450.3,1920,28
450.4,1920,28
450.5,1920,28
450.6,1920,28
450.7,1920,28
450.8,1920,28
450.9,1920,28
451,480,28
451.1,480,28
451.2,480,28
451.3,480,28
451.4,480,28
451.5,480,28
451.6,480,28
451.7,480,28
451.8,480,28
451.9,480,28
452,0,28
452.1,0,28
452.2,0,28
452.3,0,28
452.4,0,27
452.5,0,27
452.6,0,27
452.7,0,28
452.8,0,28
452.9,0,28
453,0,28
453.1,0,28
453.2,0,28
453.3,0,28
453.4,0,27
453.5,0,27
453.6,0,27
453.7,0,27
453.8,0,27
453.9,0,27
454,0,27
454.1,0,27
454.2,0,27
454.3,0,27
454.4,0,27
454.5,0,27
454.6,0,27
454.7,0,27
454.8,0,27
454.9,0,27
455,0,27
455.1,0,27
455.2,0,27
455.3,0,27
455.4,0,27
455.5,0,27
455.6,0,27
455.7,0,27
455.8,0,27
455.9,0,27
456,0,26
456.1,0,26
456.2,0,26
456.3,0,26
456.4,0,26
456.5,0,26
456.6,0,26
456.7,0,26
456.8,0,26
456.9,0,26
457,0,26
457.1,0,26
457.2,0,26
457.3,0,26
457.4,0,26
457.5,0,26
457.6,0,26
457.7,0,26
457.8,0,26
457.9,0,26
458,0,26
458.1,0,8
458.2,0,8
458.3,0,8
458.4,0,26
458.5,0,26
458.6,0,26
458.7,0,26
458.8,0,26
458.9,0,25
459,0,25
459.1,0,25
459.2,0,26
459.3,0,26
459.4,0,26
459.5,0,26
459.6,0,26
459.7,0,25
459.8,0,25
459.9,0,25
460,0,25
460.1,0,25
460.2,0,25
460.3,0,25
460.4,0,25
460.5,0,25
460.6,0,25
460.7,0,25
460.8,0,25
460.9,0,25
461,0,25
461.1,0,25
461.2,0,25
461.3,0,25
461.4,0,25
461.5,0,25
461.6,0,25
461.7,0,12
461.8,0,12
461.9,0,25
462,0,25
462.1,0,25
462.2,0,25
462.3,0,25
462.4,0,25
462.5,0,25
462.6,0,25
462.7,0,12
462.8,0,12
462.9,0,12
463,0,24
463.1,0,24
463.2,0,25
463.3,0,25
463.4,0,25
463.5,0,25
463.6,0,25
463.7,0,25
463.8,0,24
463.9,0,24
464,0,24
464.1,0,24
464.2,0,25
464.3,0,25
464.4,0,25
464.5,0,25
464.6,0,24
464.7,0,24
464.8,0,24
464.9,0,24
465,0,24
465.1,0,24
465.2,0,24
465.3,0,12
465.4,0,12
465.5,0,12
465.6,0,12
465.7,0,23
465.8,0,23
465.9,0,23
466,0,23
466.1,0,12
466.2,0,12
466.3,0,12
466.4,0,24
466.5,0,24
466.6,0,24
466.7,0,24
466.8,0,24
466.9,0,24
467,0,24
467.1,0,24
467.2,0,23
467.3,0,23
467.4,0,23
467.5,0,24
467.6,0,24
467.7,0,24
467.8,0,23
467.9,0,23
468,0,24
468.1,0,24
468.2,0,24
468.3,0,24
468.4,0,24
468.5,0,24
468.6,0,23
468.7,0,23
468.8,0,23
468.9,0,23
469,0,23
469.1,0,23
469.2,0,23
469.3,0,23
469.4,0,23
469.5,0,23
469.6,0,23
469.7,0,23
469.8,0,23
469.9,0,23
470,0,23
470.1,0,23
470.2,0,23
470.3,0,23
470.4,0,23
470.5,0,11
470.6,0,11
470.7,0,11
470.8,0,11
470.9,0,23
471,0,23
471.1,0,23
471.2,0,23
471.3,0,23
471.4,0,23
471.5,0,23
471.6,0,23
471.7,0,23
471.8,0,23
471.9,0,23
472,0,23
472.1,0,23
472.2,0,23
472.3,0,23
472.4,0,23
472.5,0,23
472.6,0,23
472.7,0,23
472.8,0,23
472.9,0,23
473,0,23
473.1,0,23
473.2,0,23
473.3,0,22
473.4,0,22
473.5,0,22
473.6,0,22
473.7,0,22
473.8,0,22
473.9,0,22
474,0,22
474.1,0,22
474.2,0,22
474.3,0,22
474.4,0,22
474.5,0,10
474.6,0,10
474.7,0,22
474.8,0,22
474.9,0,22
475,0,22
475.1,0,22
475.2,0,22
475.3,0,22
475.4,0,22
475.5,0,22
475.6,0,22
475.7,0,22
475.8,0,22
475.9,0,22
476,0,22
476.1,0,22
476.2,0,22
476.3,0,22
476.4,0,22
476.5,0,22
476.6,0,22
476.7,0,22
476.8,0,10
476.9,0,10
477,0,22
477.1,0,22
477.2,0,22
477.3,0,22
477.4,0,22
477.5,0,22
477.6,0,22
477.7,0,22
477.8,0,22
477.9,0,22
478,0,21
478.1,0,21
478.2,0,22
478.3,0,22
478.4,0,22
478.5,0,22
478.6,0,21
478.7,0,21
478.8,0,21
478.9,0,21
479,0,21
479.1,0,21
479.2,0,21
479.3,0,21
479.4,0,22
479.5,0,22
479.6,0,22
479.7,0,21
479.8,720,21
479.9,720,21
480,720,21
480.1,720,21
480.2,720,21
480.3,720,21
480.4,720,21
480.5,720,23
480.6,720,23
480.7,720,23
480.8,3480,24
480.9,3480,24
481,3480,24
481.1,3480,24
481.2,3480,26
481.3,3480,28
481.4,3480,28
481.5,3480,30
481.6,3480,30
481.7,3480,31
481.8,4680,31
481.9,4680,31
482,4680,32
482.1,4680,34
482.2,4680,34
482.3,4680,35
482.4,4680,35
482.5,4680,35
482.6,4680,35
482.7,4680,35
482.8,1440,35
482.9,1440,35
483,1440,35
483.1,1440,35
483.2,1440,35
483.3,1440,35
483.4,1440,35
483.5,1440,35
483.6,1440,35
483.7,1440,35
483.8,1440,35
483.9,480,35
484,480,35
484.1,480,35
484.2,480,34
484.3,480,34
484.4,480,34
484.5,480,34
484.6,480,34
484.7,480,34
484.8,0,34
484.9,0,34
485,0,34
485.1,0,34
485.2,0,34
485.3,0,34
485.4,0,34
485.5,0,34
485.6,0,34
485.7,0,34
485.8,0,34
485.9,0,34
486,0,34
486.1,0,34
486.2,0,34
486.3,0,34
486.4,0,34
486.5,0,34
486.6,0,33
486.7,0,33
486.8,0,33
486.9,0,33
487,0,33
487.1,0,33
487.2,0,33
487.3,0,33
487.4,0,33
487.5,0,33
487.6,0,33
487.7,0,33
487.8,0,33
487.9,0,33
488,0,33
488.1,0,33
488.2,0,33
488.3,0,33
488.4,0,33
488.5,0,33
488.6,0,33
488.7,0,16
488.8,0,16
488.9,0,16
489,0,33
489.1,0,33
489.2,0,32
489.3,0,32
489.4,0,32
489.5,0,32
489.6,0,32
489.7,0,32
489.8,0,32
489.9,0,32
490,0,32
490.1,0,32
490.2,0,32
490.3,0,32
490.4,0,32
490.5,0,32
490.6,0,32
490.7,0,15
490.8,0,15
490.9,0,15
491,0,32
491.1,0,32
491.2,0,32
491.3,0,32
491.4,0,32
491.5,0,32
491.6,0,32
491.7,0,32
491.8,0,32
491.9,0,32
492,0,32
492.1,0,31
492.2,0,31
492.3,0,31
492.4,0,31
492.5,0,31
492.6,0,31
492.7,0,31
492.8,0,31
492.9,0,30
493,0,30
493.1,0,30
493.2,0,31
493.3,0,31
493.4,0,31
493.5,0,31
493.6,0,31
493.7,0,31
493.8,0,31
493.9,0,31
494,0,31
494.1,0,31
494.2,0,31
494.3,0,31
494.4,0,31
494.5,0,31
494.6,0,31
494.7,0,31
494.8,0,0
494.9,0,0
495,0,0
495.1,0,31
495.2,0,31
495.3,0,31
495.4,0,31
495.5,0,30
495.6,0,30
495.7,0,31
495.8,0,31
495.9,0,30
496,0,30
496.1,0,30
496.2,0,30
496.3,0,30
496.4,0,30
496.5,0,30
496.6,0,29
496.7,0,29
496.8,0,30
496.9,0,30
497,0,29
497.1,0,30
497.2,0,30
497.3,0,30
497.4,0,29
497.5,0,29
497.6,0,30
497.7,0,30
497.8,0,30
497.9,0,30
498,0,30
498.1,0,30
498.2,0,30
498.3,0,30
498.4,0,30
498.5,0,30
498.6,0,30
498.7,0,30
498.8,0,30
498.9,0,29
499,0,29
499.1,0,29
499.2,0,29
499.3,0,29
499.4,0,29
499.5,0,29
499.6,0,29
499.7,0,29
499.8,0,14
499.9,0,14
500,0,14
500.1,0,29
500.2,0,29
500.3,0,29
500.4,0,28
500.5,0,28
500.6,0,28
500.7,0,29
500.8,0,29
500.9,0,28
501,0,28
501.1,0,28
501.2,0,27
501.3,0,28
501.4,0,28
501.5,0,28
501.6,0,28
501.7,0,28
501.8,0,28
501.9,0,28
502,0,28
502.1,0,28
502.2,0,28
502.3,0,28
502.4,0,28
502.5,0,28
502.6,0,28
502.7,0,28
502.8,0,27
502.9,0,27
503,0,27
503.1,0,28
503.2,0,28
503.3,0,28
503.4,0,28
503.5,0,28
503.6,0,28
503.7,0,28
503.8,0,28
503.9,0,28
504,0,28
504.1,0,28
504.2,0,28
504.3,0,28
504.4,0,28
504.5,0,28
504.6,0,28
504.7,0,28
504.8,0,28
504.9,0,28
505,0,28
505.1,0,28
505.2,0,28
505.3,0,28
505.4,0,28
505.5,0,28
505.6,0,28
505.7,0,13
505.8,0,13
505.9,0,27
506,0,27
506.1,0,27
506.2,0,27
506.3,0,27
506.4,0,27
506.5,0,27
506.6,0,27
506.7,0,27
506.8,0,27
506.9,0,27
507,0,27
507.1,0,13
507.2,0,13
507.3,0,27
507.4,0,27
507.5,0,27
507.6,0,27
507.7,0,27
